"&quot;Village&quot;";"&quot;Code Village&quot;2";"&quot;Village&quot;3";"&quot;Location&quot;";Date (YMD);Comments;Cause;Description of Cause;Source;Magnitude;GLIDEnumber;Other sectors;DataCards;Deaths;Injured;Missing;Houses Destroyed;Houses Damaged;Directly affected;Indirectly Affected;Relocated;Evacuated;Losses $USD;Losses $Local;Education centers;Hospitals;Damages in crops Ha.
Paslow Falls/P. Sucker/Rmzo.;;;Plant Sucker, Cayo Distict;2008/10/16;The Plant Sucker community suffered indirect effects from the floods, in the form of disruptions in transportation, industry, school attendance and employment.;ATMOSPHCONDITION;Tropical Depression 16 was a large and sprawling depression ;DANA Reports, MET Reports, NHC Reports;;;There were losses in the agricultural and livestock industri;1;;;;;5;;25;;;;;;;
Duck Run;;;Duck Run 1, Cayo District;2008/10/16;Flood waters affected low-lying areas in Duck Run 1, inundating several  farms and homes. Transportation, school and commerce in the area were disrupted due to the rising flood waters in the Mopan and Belize Rivers.  The major health threats posed by the floods associated with TD 16 included skin infections (rashes), fever and cough, fever, diarrhea, vomiting and abdominal pain, and other ailments.;ATMOSPHCONDITION;Tropical Depression 16 was a large and sprawling depression ;DANA Reports, MET Reports, NHC Reports;;;Duck Run 1 experienced losses in agriculture and livestock a;1;;;;;78;;389;;;;;;;
Branch Mouth;;;Branch Mouth, Cayo District;2008/10/16;Flood waters affected low-lying areas of Branch Mouth, inundating several  farms and homes. Transportation, school and commerce in the area was disrupted due to the rising flood waters in the Macal and Mopan Rivers.;ATMOSPHCONDITION;Tropical Depression 16 formed as a result of a strong tropic;DANA Reports, MET Reports, NHC Reports;;;Backyard gardens and fruit trees were washed away by the flo;1;;;;;49;;245;;;;;;;
Billy White;;;Billy White Village, Cayo District;2008/10/16;Individuals in the Billy White community experienced problems in transit as access roads to their homes were partially flooded due to heavy rainfall and water runoff. All entrances into the village including the Salvador Hernandez Bridge at Bullet Tree and the Iguana Creek Bridge near Black Man Eddy were inundated.;ATMOSPHCONDITION;Tropical Depression 16 was a large and sprawling depression ;DANA Reports, MET Reports, NHC Reports;;;Agriculture and livestock and transport were affected in Bil;1;;;;;6;;32;;;;;;;
Other CY Rural Communities;;;Banana Bank, Cayo District;2008/10/16;The effects of the flooding in the Banana Bank community resulted in disruptions in transportation, tourism, school attendance and employment.;ATMOSPHCONDITION;Tropical Depression 16 formed as a result of a strong tropic;DANA Reports, MET Reports, NHC Reports;;;Banana Bank suffered losses in tourism revenues as tourist d;1;;;;;5;;20;;;;;;;
Other CY Rural Communities;;;Seven (7) Miles, Cayo District;2008/10/16;Residents in the 7 Miles community experienced difficulties in transit as access roads to their homes experienced flash floods.;ATMOSPHCONDITION;Tropical Depression 16 was a large and sprawling depression ;DANA Reports, MET Reports, NHC Reports;;;Damages to houses and other structures were as a result of t;1;;;;;17;;84;;;;;;;
Buena Vista CY;;;Buena Vista, Cayo District;2008/10/16;Flood waters affected low-lying areas in Buena Vista, inundating several  farms and homes. Transportation, school and commerce in the area was disrupted due to the rising flood waters in the Macal and Mopan Rivers. The main health threats caused by the floods associated with TD 16 included skin infections (rashes), fever and cough, fever, diarrhea, vomiting and abdominal pain, and other injuries.;ATMOSPHCONDITION;Tropical Depression 16 was a large and sprawling depression ;DANA Reports, MET Reports, NHC Reports;;;Household losses included damages to furniture, electrical a;1;;;;;58;;288;;;;;;;
Bullet Tree Falls;;;Bullet Tree Falls, Cayo District;2008/10/16;Flood waters affected low-lying areas of Buena Vista, inundating several  farms and homes. Transportation, school and commerce in the area was disrupted due to the rising flood waters in the  Mopan River. 88 individuals were evacuated from Bullet Tree Falls to the ITVET facility in San Ignacio Town. The rising water covered the Salvador Hernandez Bridge and as a result, the bridge was temporarily closed.;ATMOSPHCONDITION;Tropical Depression 16 formed as a result of a strong tropic;DANA Reports, MET Reports, NHC Reports;;;Household losses included damages to furniture, electrical a;1;;;;;240;;1440;;88;;;;;
Calla Creek;;;Calla Creek Village, Cayo District;2008/10/16;The livelihood of this community which is largely based on subsistence farming, trading, transportation, casual employment in agriculture and tourism was significantly affected by the floods associated with TD 16. In addition, individuals in this community experienced difficulties in transit as access roads to their communities were flooded. Major health risks included skin infections (rashes), fever and cough, fever, diarrhea, vomiting and abdominal pain, and other ailments.;ATMOSPHCONDITION;Tropical Depression 16 was a large and sprawling depression ;DANA Reports, MET Reports, NHC Reports;;;There were reported losses in the agriculture and livestock ;1;;;;;53;;318;;;;;;;
Benque Viejo;;;Benque Viejo Town , Cayo District;2008/10/16;Residents in Benque Viejo Town experienced difficulties in commuting as access roads to the west became flooded, specifically in Succotz Village and near the entrance to Benque Viejo Town. As a result, the highway had to be closed in the Benque Viejo area. Major health threats posed by the floods associated with TD 16 included skin infections (rashes), fever and cough, fever, diarrhea, vomiting and abdominal pain, and other ailments.;ATMOSPHCONDITION;Tropical Depression 16 formed as a result of a strong tropic;DANA Reports, MET Reports, NHC Reports;;;Household losses included damages to furniture, electrical a;1;;;;;134;;668;;;;;;;
Arenal;;;Arenal Village, Cayo District;2008/10/16;Residents of Arenal Village experienced difficulties in transit as the access road to their community was either completely covered or was damaged due to flash-floods. The rising water from the Macal River inundated some low-lying residential areas in the village.;ATMOSPHCONDITION;Tropical Depression 16 was a large and sprawling depression ;DANA Reports, MET Report, NHC Report, Newspaper Reports;;;A row boat or dory capsized in the Mopan River near Arenal V;1;3;;;;11;;54;;;;;;;
Belize City;;;Belize City, Belize District;2010/10/24;The damages were mainly to homes and small buildings in poor conditions. In particular, there was extensive water damage to roofing, siding, steps/stairs, windows and flooring. The Port Layola Area was hardest hit. Damage was greatest among wooden/plywood structures. Dwellings, and retail centers in Belize City were also damaged due to the sea surge associated with the hurricane. Water from the sea surge rose to four feet in many areas. Several piers in Belize City, including the Radisson Hotel and Marina Pier, Princess Hotel and Marina Pier and the Water Taxi Terminal Pier experienced breakage.  Fishing gears, fishing camps, lobster traps, and lobster shades etc. were damaged, causing a significant loss to the Fisheries Industry in Belize City.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports;I;;Electrical and other household appliances were affected due ;1;;;;;73;;;;;;;;;
Benque Viejo;;;Benque Viejo Town, Cayo District;2010/10/24;Only one house was affected by the strong winds associated by Hurricane Richard in the Benque Viejo del Carmen area.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports;I;;Losses were also observed to fruit trees, ornamentals and te;1;;;;;1;4;;;;200;400;;;
Calla Creek;;;Calla Creek Village, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to homes and small buildings in poor conditions. There were also minor damages to the local vegetation and backyard crops (citrus plants, plantains, coconuts, etc).;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;;1;;;;;4;;20;;;;;;;
Billy White;;;Billy White Village, Cayo District;2010/10/24;Only one house experienced roof damage.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Report;I;;A plastic water tank belonging to a villager of Billy White ;1;;;;;1;;;;;;;;;
Other CY Rural Communities;;;St. Margret's Village, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to homes that were poorly constructed. There were also major damages to the local vegetation, fruit trees and crops. 20 families were evacuated to a shelter within the village.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;Minor impact to road networks. Appliances and furniture were;1;;;;3;27;15;135;;100;;;;;
Other CY Rural Communities;;;Springfield Village, Cayo District;2010/10/24;There was no report of any damage to houses in Springfield Village but 3 of the 4 greenhouses in the village suffered damages. There was also loss to livelihood including loss to agriculture.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;There were damages to 3 of the 5 windmills in the village. N;1;;;;;;;;;;7500;15000;;;2
Other CY Rural Communities;;;San Marcos, Cayo District;2010/10/24;Only one house was destroyed as a result of the strong winds that were associated with Hurricane Richard.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;;1;;;;;1;;5;;;;;;;
Yalbac;;;Yalbac Region, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to only two homes. There were also damages to the local flora, and backyard fruit trees.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Councill Reports;I;;;1;;;;;2;;10;;;;;;;
St. Mathew's;;;St. Matthew's Village, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to small homes in poor conditions. There was also damage to the local vegetation and backyard fruit trees.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Report;I;;There were significant water damage to household appliances,;1;;;;;11;;55;;;17500;35000;;;
Central Farm;;;Central Farm, Cayo District;2010/10/24;One house completely loss its roof.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports;I;;Damage to fruit trees and vegetation.;1;;;;;1;;5;;;;;;;
Buena Vista CY;;;Buena Vista, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to homes in poor conditions. There were also minor damages to the local vegetation and backyard crops (citrus plants, plantains, coconuts, etc).;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;Damage to forest observed.;1;;;;;4;20;;;;;;;;
La Gracia;;;La Gracia, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to homes and small buildings in poor conditions. There were also minor damages to the local vegetation and backyard crops.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;;1;;;;;3;;15;;;;;;;
Duck Run;;;Duck Run 2, Cayo District;2010/10/24;The only structure which was affected in the Duck Run 2 area is St. Joseph RC School which suffered damages to its roof.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;;1;;;;;;;;;;;;1;;
Bullet Tree Falls;;;Bullet Tree Falls, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to homes and small buildings that were poorly constructed. There were also minor damages to  local vegetation and backyard crops (fruit trees).;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;;1;;;;;7;35;80;;;;;;;
Other CY Rural Communities;;;7 Miles, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to homes that were poorly constructed. There were also minor damages to the local vegetation, fruit trees and vegetable crops.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;;1;;;;;3;;15;;;;;;;
Other CY Rural Communities;;;Ring Tail Village, Cayo District;2010/10/24;There were major damages  to the agriculture sector, particularly the grapefruit crop was 100% destroyed (1,000 boxes) and 25 percent of the 26 acre orange orchard was damaged. Other crops such as plantain (5 acres destroyed), breadfruit etc. were also damaged.  In addition, individual water storage systems and other water sources were also damaged.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;There was also detectable damage to the Howler Monkey Forest;1;;;;;1;;5;;;;;;;
Belmopan;;;Industrial Site, Belmopan City, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to two buildings in the area.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports;I;;;1;;;;;2;4;;;;5500;11000;;;
Belmopan;;;Central Site, Belmopan City, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to homes and small buildings in poor conditions. There were also minor damages to the local vegetation and backyard gardens (citrus plants, plantains, coconuts, etc). Fallen trees temporarily obstructed passage along the major roads and city streets.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports;I;;Electrical and other household appliances were affected due ;1;;;;;4;16;;;;24000;48000;;;
Belmopan;;;New Site, Belmopan City, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to homes and small buildings in poor conditions. There were also minor damages to the local vegetation and backyard crops and fruit trees. Fallen vegetation/trees (debris) temporarily obstructed passage alone the major and minor roads and city streets.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports;I;;Electrical and other household appliances were affected due ;1;;;;;2;;;;;38000;76000;;;
Belmopan;;;Cohune Walk, Belmopan City, Cayo District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to homes and small buildings in poor conditions. There were also extensive damages to  vegetation and backyard crops and fruit trees. Fallen vegetation/trees (debris) temporarily obstructed passage along the major and minor roads and city streets.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports;I;;Electrical and other household appliances were affected due ;1;;;;;4;;;;;34500;69000;;;
La Democracia;;;La Democracia, Belize District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to homes and small buildings in poor conditions. There were also minor damages to the local vegetation and backyard crops (citrus plants, plantains, coconuts, etc). Fallen vegetation/trees (debris) temporarily obstructed passage along the major and minor roads.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;The Belize Zoo, which is located in La Democracia Village, e;1;;;;1;22;;92;;;9650;19300;;;
Dangriga Town;;;Dangriga Town, Stann Creek District;2010/10/24;The strong winds associated with Hurricane Richard caused damages to homes, including small buildings in poor conditions and concrete  houses. Fallen trees temporarily obstructed transit alone the major and minor roads.;ATMOSPHCONDITION;Hurricane Richard, a Cat I hurricane with winds of 90 mph, m;DANA Reports, Village Council Reports;I;;There were  losses to agricultural crops including cassava, ;1;;;;25;102;125;485;;;;;;;
Hummingbird Community;;;Hummingbird Community, Stann Creek District;2010/10/24;"The strong winds associated with Hurricane Richard caused damages to homes; including small buildings in poor conditions and concrete  houses. Fallen trees  temporarily obstructed passage alone the major and minor roads. There were also damage to the local flora and backyard fruit trees.";ATMOSPHCONDITION;Hurricane Richard, a Cat I hurricane with winds of 90 mph, m;DANA Reports, Village Council Reports;I;;Citrus orchards in the Hummingbird Community were affected b;1;;;;1;7;5;56;;;;;;;
Valley Community;;;Valley Community, Stann Creek District;2010/10/24;"The strong winds associated with Hurricane Richard caused damages to homes; including small buildings in poor conditions and concrete (cement) houses. Fallen vegetation/trees (debris) temporarily obstructed passage alone the major and minor roads.";ATMOSPHCONDITION;Hurricane Richard, a Cat I hurricane with winds of 90 mph, m;DANA Reports, Village Council Reports;I;;Many citrus fruits were blown down as a result of the intens;1;;;;;9;;48;;;;;;;
Steadfast;;;Steadfast Village, Stann Creek District;2010/10/24;"The strong winds associated with Hurricane Richard caused damages to homes; including small buildings in poor conditions and concrete houses. Fallen trees temporarily obstructed passage alone the major and minor roads.";ATMOSPHCONDITION;Hurricane Richard, a Cat I hurricane with winds of 90 mph, m;DANA Reports, Village Council Reports;I;;A great number of citrus fruits were blown down from citrus ;1;;;;;8;;35;;;;;;;
Gales Point;;;Gales Point, Stann Creek District;2010/10/24;The damages were mainly to homes and small buildings in poor conditions. There was also visible loss to livelihood including loss to agriculture, local vegetation and backyard crops (grapefruit and other citrus plants, banana, plantains, coconuts etc). Fences, including barbed wire enclosures were also damaged.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, VIllage Council Reports;I;;;1;;;;;48;;;;;;;;;
Mullins River;;;Mullins River, Stann Creek District;2010/10/26;The damages were mainly to small house that were poorly constructed. There was also visible loss to livelihood including loss to agriculture, local vegetation and backyard fruit crops. Fences, including barbed wire enclosures were also damaged.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;;1;;;;;26;;130;;;;;;;
Pomona;;;Pomona, Stann Creek District;2010/10/24;"The strong winds associated with Hurricane Richard caused damages to homes; including, small buildings in poor conditions and concrete  houses. Fallen trees temporarily obstructed passage alone the major and minor roads. There were also damages to the local vegetation, and backyard fruit trees.";ATMOSPHCONDITION;Hurricane Richard, a Cat I hurricane with winds of 90 mph, m;DANA Reports, Village Council Reports;I;;1500 acres of unharvested citrus (orange and grapefruit) wer;1;;;;1;8;5;40;;;14550000;29100000;;;607
Bermudian Landing;;;Bermudian Landing, Belize District;2010/10/24;The damages were mainly to homes and small buildings in poor conditions. There was also visible loss to livelihood including loss to agriculture, local vegetation and backyard crops (grapefruit and other citrus plants, banana, plantains, coconuts etc). Fences, including barbed wire enclosures were also damaged.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;The Community Center which serves as the village's pre-schoo;1;;;;;8;;;;;;;;;
Double Head Cabbage;;;Double Head Cabbage, Belize District;2010/10/24;The damages were mainly to homes and small buildings in poor conditions. There was also visible loss to livelihood including loss to agriculture, local vegetation and backyard crops (grapefruit and other citrus plants, banana, plantains, coconuts etc). Fences, including barbed wire enclosures were also damaged.;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Reports;I;;The Mennonite Mission House and the H.C. Health Center exper;1;;;;;33;;;;;;;;;
Isabella Bank;;;Isabella Bank, Belize District;2010/10/24;Only one home was destroyed. There was visible loss to livelihood including loss to agriculture, local vegetation and backyard crops (grapefruit and other citrus plants, banana, plantains, coconuts etc).;ATMOSPHCONDITION;Hurricane Richard made landfall in the Northern Lagoon area ;DANA Reports, Village Council Report;I;;;1;;;;1;;4;110;;;1700;3400;;;
Ladyville;;;Met Office PSWGIA, Ladyville;1982/4/4;Pyroclastic flows and surges destroyed nine villages south of the volcano while damaging lahars were also triggered due to heavy rain falling on unconsolidated pyroclastic deposits. Ash fall out over Belize lasted for almost a week, as white, fine ash settled over all exposed objects, forming a layer of volcanic dust some 2 to 3 cm thick in some places.  The volcanic ash fallout in Belize exacerbated repiratory problems of asmatic persons and those with other respiratory diseases.;ERUPTION;El Chichón, also known as El Chichonal, (roughly translated ;"Websites; Newspaper articles";;;Volcanic ash fallout over Belize resulted in minimal losses,;1;;;;;;;;;;;;;;
San Pablo OW;;;San Pablo, Orange Walk District;2008/6/2;Most of the villages along the Rio Hondo, the New River, the Belize River, and their main tributaries were impacted by the floods produced by the rains associated with Tropical Storm Arthur.;ATMOSPHCONDITION;The widespread floods following the passage of Tropical Stor;"NEMO DANA Report; Met Report; NHC Report; Newspaper Articles";;;Agricultural crops damaged or destroyed included: corn, papa;1;;;;3;23;115;;;;189109,01;378218,02;1;1;728,4
Douglas;;;Douglas Village, Orange Walk District;2008/6/2;Most of the villages along the Rio Hondo, the New River, the Belize River, and their main tributaries were impacted by the floods generated from the rains of Tropical Storm Arthur.;ATMOSPHCONDITION;The widespread floods following the passage of Tropical Stor;"NEMO DANA Report; Met Report; NHC Report; Newspaper Articles";;;An estimated 1600 tons of sugar cane (@$50.00 per ton) held ;1;;;;1;25;125;;;125;155109;310218;1;1;728,4
San Luis;;;San Luis Village,Orange Walk District.;2008/6/2;The impact of the flash flood was  economic, social as well as psychological.  Most of the villagers, especially the children suffered from trauma, shock and nightmares during and long after the event.;ATMOSPHCONDITION;The excessive moisture and instability advected across Beliz;NEMO DANA Report, Met Report, NHC Report, Newspaper Articles;;;The village of San Luis suffered losses of household items d;1;;;;;6;30;;;;31871,33;63742,65;1;1;
Spanish Lookout;;;Mike Usher #3 (Oil Well), Spanish Lookout, Cayo District;2009/7/25;According to the DOE official, the fuel spill was minimal and did not cause any signficant negative damage to the environmen. The effects of the impact of this small oil spill was contained within the BNE compound.;HUMANERROR;The entire community of the Spanish Lookout area experienced;Department of the Environemnt;;;Additional cost included the reparation of the damages to th;1;;;;;;;;;;90;180;;;
Gales Point;;;Gales Point Village, Belize District. Impacts of TS Arthur 2;2008/6/2;The impact of the storm had  economic, social as well as psychological effects.  Most of the villagers, especially the children suffered from trauma, shock and nightmares during and long after the event.;ATMOSPHCONDITION;The excessive moisture and instability advected across Beliz;NEMO DANA Report, Met Report, NHC Report, Newspaper Articles;;;Gales Point Village suffered losses of household items and s;1;;;;;80;400;296;;;608000;1216000;1;1;
Hopkins;;;Hopkins Village, Stann Creek District;2008/6/2;The impact of the storm caused economic, social as well as psychological effects on the community.  Most of the villagers, especially the children suffered from trauma, shock and nightmares, during and long after the event.;ATMOSPHCONDITION;The excessive moisture and instability advected across Beliz;NEMO DANA Report, Met Report, NHC Report, Newspaper Articles;;;The village of Hopkins suffered losses of household. There w;1;;;;;15;75;1193;;;114000;228000;2;1;
Orange Walk;;;Orange Walk Town;2007/1/19;Two residential properties were affected by the contamination and the clean up for the event lasted almost an entire day. Belize Natural Energy (BNE) company was instrumental in the clean up efforts.;HUMANERROR;The oil spilled which occured on the 19th January, 2007 was ;DOE Report;;;Other losses included the reparation of the damaged tanker.;1;;;;;2;;;;;85500;42750;;;
Sittee River;;;Sittee River, Stann Creek District;2008/5/9;The flash flood washed away every movable object on its way.  One person from Sittee River died in the flood.  By 4:30 am the flash flood was swamping Sittee River downstream.;ATMOSPHCONDITION;The main cause of this disaster were the torrential downpour;NEMO DANA Report, Met Reports, NHC Report, CRIFF Report, Newspaper articles;;;Losses resulting from the flash floods generated by TS Arthu;1;1;;;;30;150;374;;;228000;456000;1;1;1821085,39
Hope Creek;;;HopeCreek/Melinda Village, Stann Creek District, Belize.;2008/6/2;The flash flood washed away  every movable object on its way. By 4:30 am the flash flood was swamping the Hope Creek, Melinda and Sarawee communities downstream.;ATMOSPHCONDITION;The main cause of this disaster were the torrential downpour;"NEMO DANA Report; Newspaper Reports; NHC Report; Met Report";;;There was damage to crops, powerlines, and infrastructures.;1;;;;15;140;75;238;;;1414250;2828500;2;;
San Pedro Town;;;"San Pedro, Ambergris Caye; Impact of Tropical Storm Chantel";2001/8/20;The Belize Met Service responded to the storm in a timely and effective fashion. In fact, the National Hurricane Centre had high words of praise for the Belize Met Service, for providing them with accurate and hourly radar information.;ATMOSPHCONDITION;Tropical Storm Chantal moved rapidly westward through the Ca;"Met (NMHS) Report; NHC Report";;;Infracture damage included damages  to piers, palapas and be;1;;;;;;;;;7000;;;;;
Orange Walk;;;Orange Walk Town;2001/8/19;The Belize Met Service responded to the storm in a timely and effective fashion. In fact, the National Hurricane Centre had high words of praise for the Belize Met Service, for providing them with accurate and hourly radar information.;ATMOSPHCONDITION;Tropical Storm Chantal moved rapidly westward through the Ca;"Met (NMHS) Report; NHC Report";;;There were  losses of agricultural crops such as sugarcane, ;1;;;;;;;;;;9000000;18000000;;;
Belize City;;;Belize City during the unnamed Hurricane of  Sept. 10th, 193;1931/9/10;The unnamed hurricane of September 10th 1931 made landfall when most Belizeans were celebrating the Battle of St. George's Caye( National Day) and were caught  unaware of the impending danger of a major hurricane about to strick the colony. Also, most Belizeans were of the opinion that the barrier reef would suppress any storm surge on the coast.  Added to this was the lack of knowledge of the hazards associated with hurricanes, and consequently, the citizens were caught unprepared for the onslaught of this disasterous hurricane.;ATMOSPHCONDITION;The first evidence of the existence of Storm No. 0304 was re;"Jesuits Mission Belize; Channel 5 BZ; Belize Music World Website; Newspaper";III;;The dead and the missing were estimated at 3000 while the da;1;2500;;500;;;2500;;;;2500000;5000000;3;1;
